6.3557E1 3E0
6.3559E1 1E0
6.3561E1 5E0
6.3563E1 7E0
6.3565E1 5E0
6.3567E1 3E0
6.3569E1 4E0
6.3571E1 6E0
6.3573E1 7E0
6.3575E1 6E0
6.3577E1 2E0
6.3579E1 2E0
6.3581E1 7E0
6.3583E1 8E0
6.3585E1 6E0
6.3587E1 6E0
6.3589E1 1E1
6.3591E1 4E0
6.3593E1 5E0
6.3595E1 5E0
6.3597E1 4E0
6.3599E1 1.1E1
6.3601E1 6E0
6.3603E1 4E0
6.3605E1 3E0
6.3607E1 1E1
6.3609E1 5E0
6.3611E1 6E0
6.3613E1 2E0
6.3615E1 8E0
6.3617E1 8E0
6.3619E1 3E0
6.3621E1 6E0
6.3623E1 1E0
6.3625E1 7E0
6.3627E1 9E0
6.3629E1 8E0
6.3631E1 4E0
6.3633E1 7E0
6.3635E1 4E0
6.3637E1 8E0
6.3639E1 1E0
6.3641E1 4E0
6.3643E1 8E0
6.3645E1 4E0
6.3647E1 3E0
6.3649E1 9E0
6.3651E1 5E0
6.3653E1 6E0
6.3655E1 1E1
6.3657E1 2E0
6.3659E1 7E0
6.3661E1 2E0
6.3663E1 4E0
6.3665E1 5E0
6.3667E1 3E0
6.3669E1 1E1
6.3671E1 6E0
6.3673E1 1.1E1
6.3675E1 5E0
6.3677E1 4E0
6.3679E1 5E0
6.3681E1 7E0
6.3683E1 8E0
6.3685E1 6E0
6.3687E1 6E0
6.3689E1 5E0
6.3691E1 8E0
6.3693E1 7E0
6.3695E1 4E0
6.3697E1 1E1
6.3699E1 6E0
6.3701E1 7E0
6.3703E1 4E0
6.3705E1 9E0
6.3707E1 5E0
6.3709E1 4E0
6.3711E1 1E0
6.3713E1 6E0
6.3715E1 8E0
6.3717E1 5E0
6.3719E1 6E0
6.3721E1 3E0
6.3723E1 5E0
6.3725E1 9E0
6.3727E1 5E0
6.3729E1 5E0
6.3731E1 7E0
6.3733E1 3E0
6.3735E1 6E0
6.3737E1 6E0
6.3739E1 8E0
6.3741E1 5E0
6.3743E1 4E0
6.3745E1 9E0
6.3747E1 7E0
6.3749E1 6E0
6.3751E1 3E0
6.3753E1 8E0
6.3755E1 8E0
6.3757E1 5E0
6.3759E1 5E0
6.3761E1 6E0
6.3763E1 5E0
6.3765E1 6E0
6.3767E1 1E0
6.3769E1 7E0
6.3771E1 4E0
6.3773E1 2E0
6.3775E1 9E0
6.3777E1 6E0
6.3779E1 3E0
6.3781E1 4E0
6.3783E1 7E0
6.3785E1 1.2E1
6.3787E1 8E0
6.3789E1 4E0
6.3791E1 7E0
6.3793E1 1.1E1
6.3795E1 7E0
6.3797E1 7E0
6.3799E1 9E0
6.3801E1 3E0
6.3803E1 7E0
6.3805E1 3E0
6.3807E1 9E0
6.3809E1 6E0
6.3811E1 5E0
6.3813E1 8E0
6.3815E1 6E0
6.3817E1 1E1
6.3819E1 9E0
6.3821E1 7E0
6.3823E1 4E0
6.3825E1 3E0
6.3827E1 1.1E1
6.3829E1 5E0
6.3831E1 5E0
6.3833E1 4E0
6.3835E1 1.2E1
6.3837E1 4E0
6.3839E1 3E0
6.3841E1 8E0
6.3843E1 1E1
6.3845E1 7E0
6.3847E1 6E0
6.3849E1 8E0
6.3851E1 1.7E1
6.3853E1 9E0
6.3855E1 8E0
6.3857E1 8E0
6.3859E1 5E0
6.3861E1 9E0
6.3863E1 7E0
